,,,,
0,08:34:40:AM,08-Jun-2018,KA 22 A 2527,ARRIVEL

1,08:36:13:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:41:28:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:42:24:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:44:25:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

1,08:44:27:AM,08-Jun-2018,KA 22 F 9807,DEPARTURE

0,08:45:27:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:46:38:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:48:04:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

1,08:48:14:AM,08-Jun-2018,KA 22 F 9807,DEPARTURE

2,08:48:35:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

0,08:49:42:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

1,08:49:45:AM,08-Jun-2018,KA 22 F 9807,DEPARTURE

2,08:49:50:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

3,08:49:53:AM,08-Jun-2018,KA 22 F 9807,DEPARTURE

0,08:50:34:AM,08-Jun-2018,KA 22 F 9807,ARRIVEL

1,08:50:43:AM,08-Jun-2018,KA 22 A 2527,ARRIVEL

2,08:51:08:AM,08-Jun-2018,KA 22 F 9807,DEPARTURE

3,08:51:23:AM,08-Jun-2018,KA 22 A 2527,DEPARTURE

0,10:30:56:AM,10-Jun-2018,KA 22 F 9807,ARRIVEL

1,10:30:58:AM,10-Jun-2018,KA 22 F 9807,DEPARTURE

0,10:55:54:AM,10-Jun-2018,KA 22 B 1234,ARRIVEL

0,12:04:05:PM,12-Jun-2018,KA 22 B 1234,ARRIVEL

0,12:08:21:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

0,12:12:43:PM,12-Jun-2018,KA 22 A 2527,ARRIVEL

1,12:12:44:PM,12-Jun-2018,KA 22 A 2527,DEPARTURE

0,12:13:59:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

1,12:14:06:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

2,12:14:06:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

3,12:14:13:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

4,12:14:14:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

5,12:14:15:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

6,12:14:20:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

7,12:14:28:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

0,12:14:49:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

1,12:16:24:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

2,12:16:30:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

3,12:16:30:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

4,12:16:31:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

5,12:16:34:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

6,12:16:37:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

7,12:16:38:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

8,12:16:39:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

9,12:16:49:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

10,12:16:51:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

11,12:17:17:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

12,12:17:44:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

13,12:17:45:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

14,12:17:49:PM,12-Jun-2018,KA 22 F 9807,DEPARTURE

0,12:22:38:PM,12-Jun-2018,KA 22 F 9807,ARRIVEL

1,12:28:32:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

2,12:30:38:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

3,12:30:46:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

4,12:30:48:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

5,12:31:06:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

0,12:33:17:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

1,12:33:25:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

2,12:43:26:PM,12-Jun-2018,KA 22 A 2525,ARRIVEL

3,12:44:20:PM,12-Jun-2018,KA 22 A 2525,DEPARTURE

0,01:02:53:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:03:04:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

1,01:03:55:PM,01-Jun-2018,KA 22 A 2525,DEPARTURE

0,01:07:18:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

0,01:08:15:PM,01-Jun-2018,KA 22 A 2525,ARRIVEL

